id,area,bbox_x0,bbox_y0,bbox_w,bbox_h,point_input_x,point_input_y,predicted_iou,stability_score,crop_box_x0,crop_box_y0,crop_box_w,crop_box_h
0,739753,0,709,1799,487,1096.875,768.75,1.0317078828811646,0.9685450792312622,0,0,1800,1200
1,23465,656,304,202,131,703.125,318.75,1.0040775537490845,0.981386125087738,0,0,1800,1200
2,42245,445,625,230,224,534.375,806.25,0.9956665635108948,0.9788016676902771,0,0,1800,1200
3,40157,1395,559,232,215,1546.875,731.25,0.993644654750824,0.9701671600341797,0,0,1800,1200
4,13114,1460,606,125,131,1546.875,693.75,0.9923262596130371,0.9818539023399353,0,0,1800,1200
5,21531,423,320,199,121,478.125,431.25,0.9921550750732422,0.9699533581733704,0,0,1800,1200
6,14068,499,676,131,134,590.625,768.75,0.9911141395568848,0.9844906330108643,0,0,1800,1200
7,8799,4,0,207,42,196.875,18.75,0.9877771139144897,0.9858916401863098,0,0,1800,1200
8,51403,219,0,175,301,365.625,18.75,0.9851460456848145,0.98566734790802,0,0,1800,1200
9,19609,238,332,192,123,365.625,431.25,0.9848265647888184,0.9618947505950928,0,0,1800,1200
10,44588,236,318,388,140,590.625,393.75,0.9810417294502258,0.9575343132019043,0,0,1800,1200
11,112641,923,292,418,373,984.375,506.25,0.9810157418251038,0.9617733955383301,0,0,1800,1200
12,19202,1728,73,71,303,1771.875,131.25,0.9729194641113281,0.9828173518180847,0,0,1800,1200
13,626908,87,280,1623,564,253.125,468.75,0.9671654105186462,0.9510751366615295,0,0,1800,1200
14,44915,233,318,601,139,365.625,356.25,0.9576816558837891,0.9552452564239502,0,0,1800,1200
15,898,916,0,34,28,928.125,18.75,0.9555188417434692,0.9845132827758789,0,0,1800,1200
16,3550,748,0,57,64,759.375,18.75,0.9507242441177368,0.9785036444664001,0,0,1800,1200
17,6568,1238,688,163,62,1378.125,731.25,0.9489216208457947,0.970601499080658,0,0,1800,1200
18,939,683,0,33,30,703.125,18.75,0.948577880859375,0.9851537942886353,0,0,1800,1200
19,14427,1622,601,177,120,1771.875,618.75,0.948381245136261,0.9753542542457581,0,0,1800,1200
20,4233,0,556,129,34,84.375,581.25,0.946753978729248,0.9793959259986877,0,0,1800,1200
21,353757,127,282,816,566,871.875,431.25,0.9453837275505066,0.9560815691947937,0,0,1800,1200
22,5168,1725,0,74,70,1771.875,56.25,0.9437968134880066,0.9801579713821411,0,0,1800,1200
23,632453,37,41,1671,807,1378.125,468.75,0.9419715404510498,0.9572198390960693,0,0,1800,1200
24,851,411,0,31,29,421.875,18.75,0.9379104375839233,0.9847775101661682,0,0,1800,1200
25,934,637,0,32,30,646.875,18.75,0.9364973306655884,0.9830148816108704,0,0,1800,1200
26,839,873,0,32,28,871.875,18.75,0.935692548751831,0.9729411602020264,0,0,1800,1200
27,937,1009,0,34,28,1040.625,18.75,0.934536337852478,0.985200822353363,0,0,1800,1200
28,7017,675,0,492,283,928.125,131.25,0.9342353343963623,0.9545075297355652,0,0,1800,1200
29,3424,1711,563,88,43,1771.875,581.25,0.9340255856513977,0.969452440738678,0,0,1800,1200
30,4215,27,88,35,148,28.125,93.75,0.9329949617385864,0.968342661857605,0,0,1800,1200
31,13615,0,559,151,133,84.375,618.75,0.9300212860107422,0.9574835896492004,0,0,1800,1200
32,850,762,725,57,19,815.625,731.25,0.9269440174102783,0.9755814075469971,0,0,1800,1200
33,25400,1726,0,73,447,1771.875,131.25,0.9253638982772827,0.9790969491004944,0,0,1800,1200
34,2299,980,469,90,34,1040.625,468.75,0.9224845170974731,0.9725792407989502,0,0,1800,1200
35,1103,1724,761,75,17,1771.875,768.75,0.9212101697921753,0.9688335061073303,0,0,1800,1200
36,2576,1244,377,48,68,1265.625,393.75,0.9200052618980408,0.9705544710159302,0,0,1800,1200
37,865,0,818,45,30,28.125,843.75,0.9195160865783691,0.9761634469032288,0,0,1800,1200
38,318,1187,273,23,18,1209.375,281.25,0.9120391011238098,0.9781249761581421,0,0,1800,1200
39,3390,1726,0,73,47,1771.875,18.75,0.9110758304595947,0.9685589671134949,0,0,1800,1200
40,2555,704,711,81,42,759.375,731.25,0.9100832939147949,0.9657032489776611,0,0,1800,1200
41,29522,952,313,296,128,984.375,393.75,0.8987313508987427,0.9636024832725525,0,0,1800,1200
42,1436,163,561,37,41,196.875,581.25,0.8987177610397339,0.9699453711509705,0,0,1800,1200
43,639,354,732,26,26,365.625,731.25,0.8918367624282837,0.9556574821472168,0,0,1800,1200
44,17508,804,0,336,60,984.375,18.75,0.8896144032478333,0.9665916562080383,0,0,1800,1200
45,5746,0,300,213,33,28.125,318.75,0.8865115642547607,0.9500507712364197,0,0,1800,1200
46,212,581,11,13,18,590.625,18.75,0.8826574087142944,0.9674418568611145,0,0,1800,1200
